input persona,question
A solar energy company representative providing green energy solutions for outdoor lighting in garden designs,"""{\n    \""name\"": \""Solar Energy Production Estimator Interface\"",\n    \""description\"": \""Estimates the energy production of a grid-connected photovoltaic (PV) energy system based on the given latitude, longitude, system capacity, tilt, and azimuth. Leverages the PVWatts API from NREL.\"",\n    \""function_name\"": \""estimate_solar_production\"",\n    \""input_args\"": {\n        \""lat\"": \""Latitude of the location where the system will be installed.\"",\n        \""lon\"": \""Longitude of the location where the system will be installed.\"",\n        \""system_capacity\"": \""DC system capacity in kilowatts.\"",\n        \""tilt\"": \""Tilt of the solar panel in degrees.\"",\n        \""azimuth\"": \""Azimuth angle of the solar panel in degrees.\""\n    },\n    \""return\"": \""Estimated annual energy production of the system in kilowatt-hours (kWh).\"",\n    \""depend\"": \""The function depends on the 'requests' Python library and the PVWatts API from NREL.\""\n}"""
An oceanographer investigating the connection between ocean currents and magnetic field variations,"""{\n  \""name\"": \""Magnetic Field Data Interface\"",\n  \""description\"": \""This interface retrieves magnetic field data for a given location using the USGS Geomagnetism Program's web service.\"",\n  \""function_name\"": \""get_magnetic_field_info\"",\n  \""input_args\"": {\n    \""latitude\"": \""The latitude coordinate of the location where you want to get the magnetic field data.\"",\n    \""longitude\"": \""The longitude coordinate of the location where you want to get the magnetic field data.\""\n  },\n  \""return\"": \""A JSON object containing comprehensive information about the magnetic field at the specified location.\"",\n  \""depend\"": \""requests library, USGS Geomagnetism Program Web API\""\n}"""
"Преподаватель курсов по автоматизации тестирования, который проводит обучение команды разработчиков по применению Selenium","""{\n\""name\"": \""Selenium Test Automation Interface\"",\n\""description\"": \""Automates a browser action (clicking an element) on a webpage and returns a screenshot of the page after the action.\"",\n\""function_name\"": \""automate_browser_action\"",\n\""input_args\"": {\n    \""url\"": \""The URL of the webpage\"",\n    \""xpath\"": \""The xpath of the element to be clicked\""\n},\n\""return\"": \""A screenshot of the webpage after the action\"",\n\""depend\"": \""Selenium WebDriver Python library\""\n}"""
A local fisherman from Michigan who has a property on the shore of Lake Huron,"""{\n  \""name\"": \""Fish Species Prediction Interface\"",\n  \""description\"": \""Predicts the species of a fish based on its weight, length, and color using a pre-trained deep learning model\"",\n  \""function_name\"": \""predict_fish_species\"",\n  \""input_args\"": [\""weight\"", \""length\"", \""color\""],\n  \""return\"": \""The predicted species of the fish as a string\"",\n  \""depend\"": [\""tensorflow\"", \""sklearn.preprocessing\"", \""pandas\"", \""Machine Learning Model\""]\n}"""
An experienced Python software developer proficient in encoding and decoding Unicode characters,"""{\n\""name\"": \""Unicode Encoding and Decoding Interface\"",\n\""description\"": \""An interface that allows users to easily encode a string of Unicode characters to UTF-8 and decode a UTF-8 encoded string back to Unicode.\"",\n\""function_name\"": [\""encode_to_utf8\"", \""decode_from_utf8\""],\n\""input_args\"": [\""input_string\"", \""input_bytes\""],\n\""return\"": [\""UTF-8 encoded string\"", \""Decoded Unicode string\""],\n\""depend\"": [\""Python built-in functions\""]\n}"""
A science journalist who investigates and debunks claims of alien encounters and UFO sightings,"""{\n  \""name\"": \""UFO Sightings Data Verification Interface\"",\n  \""description\"": \""This interface verifies claims of UFO sightings by checking a 'ufo-sightings' dataset from data.gov or other reliable sources. It takes the date and location of the claimed sighting as inputs and returns whether there was a reported sighting at that location on that date.\"",\n  \""function_name\"": \""verify_ufo_sighting\"",\n  \""input_args\"": [\""date\"", \""location\""],\n  \""return\"": \""Boolean value indicating whether there was a reported sighting at the given location on the given date.\"",\n  \""depend\"": {\""libraries\"": [\""pandas\""], \""dataset\"": [\""'ufo-sightings' dataset from data.gov or other reliable sources\""]}\n}"""
a long-time UNAM fan who is particular about historical facts,"""{\n  \""name\"": \""Historical Soccer Match Results Interface\"",\n  \""description\"": \""An interface to fetch historical soccer match results for a specific team from a given range of years.\"",\n  \""function_name\"": \""get_historical_match_results\"",\n  \""input_args\"": {\n    \""team_name\"": \""The name of the team\"",\n    \""start_year\"": \""The start year of the range\"",\n    \""end_year\"": \""The end year of the range\""\n  },\n  \""return\"": \""A list of match results, each result includes the date of the match, the opponent team, goals scored by the user's team, and goals scored by the opponent team.\"",\n  \""depend\"": {\n    \""Web APIs\"": [\n      \""Football-Data.org API\""\n    ],\n    \""Python Libraries\"": [\n      \""requests\"",\n      \""datetime\""\n    ]\n  }\n}"""
"In my forties, a Maruti 800 owner living in Delhi who enjoys watching well-depicted romantic comedy films in the Malayalam language.","""{\n\""name\"": \""Film Recommendation Interface\"", \n\""description\"": \""This interface takes user preferences such as age, car model, city of residence, and preferred movie genre and language, to recommend a list of films that the user might enjoy.\"", \n\""function_name\"": \""recommend_movies\"", \n\""input_args\"": [\""age\"", \""car_model\"", \""city\"", \""preferred_genre\"", \""preferred_language\""], \n\""return\"": \""List of recommended movies\"", \n\""depend\"": [\""Tensorflow\"", \""Tensorflow Recommenders\"", \""MovieLens dataset\""]\n}"""
A commercial pig farmer seeking expert advice to optimize pig feed for maximum growth and health,"""{\n  \""name\"": \""Optimal Pig Feed Calculation Interface\"",\n  \""description\"": \""An interface that calculates the optimal feed mix for pigs based on the costs and nutritional values of available feeds and the nutritional needs of the pigs. It uses linear programming to find a solution that minimizes cost while meeting nutritional requirements.\"",\n  \""function_name\"": \""calculate_optimal_feed\"",\n  \""input_args\"": {\n    \""costs\"": \""A list of feed costs per unit\"",\n    \""nutritional_values\"": \""A 2D list where each sublist corresponds to a feed type, and every element in the sublist is the nutritional value of that feed\"",\n    \""nutritional_needs\"": \""A list of nutritional needs of the pig\""\n  },\n  \""return\"": \""A list of quantities of each feed type that provides the required nutrients at the lowest cost\"",\n  \""depend\"": \""SciPy's optimization (linear programming) function\""\n}"""
A graduate student conducting research on the use of formal methods in software verification,"""{\n\""name\"": \""Formal Method Verification Interface\"",\n\""description\"": \""An interface for verifying the satisfiability of logical propositions using the Z3 Theorem Prover.\"",\n\""function_name\"": \""check_satisfiability\"",\n\""input_args\"": [\""proposition\""],\n\""return\"": \""A string indicating whether the proposition is satisfiable or not.\"",\n\""depend\"": \""Z3 Theorem Prover Python library\""\n}"""
